Hugo_Symbol	Entrez_Gene_Id	TCGA-BR-6564-11A-01R-1884-13	TCGA-HU-A4GH-11A-11R-A36D-31	TCGA-IN-8663-11A-01R-2402-13	TCGA-HU-8238-11A-01R-2343-13	TCGA-BR-7716-11A-01R-2055-13	TCGA-FP-7735-11A-01R-2055-13	TCGA-HU-A4GY-11A-11R-A36D-31	TCGA-IN-AB1X-11A-21R-A39E-31	TCGA-CG-5720-11A-01R-1602-13	TCGA-IN-8462-11A-01R-2343-13	TCGA-BR-7704-11A-01R-2055-13	TCGA-CG-5722-11A-02R-1602-13	TCGA-BR-6458-11A-01R-1802-13	TCGA-HU-A4HB-11A-11R-A251-31	TCGA-CG-5734-11A-01R-1602-13	TCGA-IN-AB1V-11A-11R-A414-31	TCGA-FP-7829-11A-01R-2055-13	TCGA-BR-6453-11A-01R-1802-13	TCGA-BR-6457-11A-01R-1802-13	TCGA-IP-7968-11A-01R-2203-13	TCGA-HU-A4GN-11A-12R-A251-31	TCGA-HU-A4GP-11A-21R-A251-31	TCGA-CG-5730-11A-01R-1602-13	TCGA-IN-7806-11A-01R-2055-13	TCGA-BR-6454-11A-01R-1802-13	TCGA-BR-7715-11A-01R-2055-13	TCGA-CG-5733-11A-01R-1602-13	TCGA-BR-6852-11A-01R-1884-13	TCGA-BR-6802-11A-01R-1884-13	TCGA-HU-A4G3-11A-11R-A24K-31	TCGA-BR-7851-11A-01R-2203-13	TCGA-CG-5721-11A-01R-1602-13	TCGA-BR-7717-11A-01R-2055-13
COL4A1	1282	1208.34	4038.61	153.34	172.65	708.18	3589.58	3639.7	406.31	551.56	256.78	2271.4	1159.07	660.68	5366.37	373.81	1111.82	3372.43	497	961.07	872.1	2645.74	4543.8	305.55	287.01	1088.92	379.04	733.19	387.02	140.04	4869.99	414.87	269.6	480.04
IFT27	11020	620.67	713.11	256.78	583.07	638.15	872.1	679.29	251.48	703.28	287.01	638.15	693.58	647.07	466.88	748.61	314.17	595.34	583.07	543.96	297.17	890.44	607.87	688.78	379.04	579.04	728.11	753.83	718.08	836.53	575.03	457.25	775.05	764.36
ZNF607	84775	50.27	55.89	82.29	23.08	72.52	53.19	84.63	94.01	30.56	64.8	59.13	57.89	69.03	54.72	28.86	107.38	94.67	44.57	29.48	41.22	65.26	86.43	31.67	68.07	38.12	47.17	47.5	28.65	32.36	88.26	52.08	45.21	28.45
CSRP3	8048	0	0	0	0	0	0	0	1.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC8	9985	1059.11	629.35	41.81	551.56	260.38	518.15	368.65	246.28	1059.11	226.54	947.83	283.05	1127.35	480.04	830.75	158.79	281.09	647.07	607.87	220.32	567.1	555.41	332.14	88.26	1073.91	1304.15	1096.5	2018.8	55.1	559.28	775.05	1143.1	813.63
HEPHL1	341208	0	0	25.91	0.79	0.52	0.28	0.92	30.56	0.58	67.59	0	0.58	0.75	0.67	0.28	44.89	59.97	0	0	12.45	0	0	0.27	29.48	0.99	0	0.37	0.27	0.66	0	0	0.4	0.95
RPIA	22934	356.05	135.24	563.18	323.03	441.64	115.97	128.79	307.69	332.14	351.14	277.2	400.71	356.05	120.94	279.14	287.01	126.12	438.59	353.59	264.03	158.79	169.07	287.01	423.61	277.2	409.15	417.77	373.81	429.54	137.14	387.02	318.57	409.15
AGAP10	642517	137.14	106.63	41.52	58.3	24.46	50.27	128.79	183.82	115.16	108.14	65.26	33.54	76.17	69.52	73.54	109.66	86.43	57.89	44.57	52.45	41.81	75.11	76.17	48.18	56.28	115.97	74.06	18.29	5.59	166.73	162.14	26.28	43.02
SRP9	6726	2895.31	3716.2	4358.66	2935.74	3768.09	3768.09	3982.99	3303	2720.15	3060.45	2835.7	2335.28	3955.48	4038.61	2777.33	3372.43	3589.58	3820.7	2956.17	2816.11	4298.64	3690.52	3168.41	3081.75	2895.31	4123.49	3419.52	4095	7966.99	3190.46	3124.78	3515.68	4769.75
CTB-58E17.5	0	4.94	9.85	6.41	4.66	8.78	3.08	9.63	11.3	7.51	7.82	14.03	13.83	6.62	4.39	6.01	5.5	12.64	2.73	3.59	25.54	4.21	6.94	5.36	13.12	3.72	4.74	3.2	9.93	2.73	7.88	8.85	2.84	7.46
ETV4	2118	150.17	10.39	113.56	55.89	75.11	7.63	7.82	244.57	91.41	82.29	82.29	68.07	63.89	8.65	197.09	102.25	21.16	198.47	84.63	220.32	10.96	6.67	246.28	136.19	71.5	92.7	88.88	119.26	64.34	13.93	151.22	108.14	92.7
CTD-2600O9.1	0	15.34	4.74	20.26	6.31	0	0	0.92	22.75	25.17	18.03	8	22.43	11.82	0	6.57	6.01	18.7	4.74	2.43	31	0	4.28	6.84	9.63	12.93	25.54	12.83	15.45	16.63	0	12.09	33.3	8.71
TMEM173	340061	872.1	902.89	420.68	172.65	759.08	599.49	884.29	591.22	514.56	921.88	1331.57	607.87	525.39	555.41	412	521.76	1561.89	629.35	503.95	1250.98	688.78	543.96	432.53	490.14	769.69	1268.46	860.08	638.15	244.57	480.04	420.68	567.1	1119.56
PTPN12	5782	438.59	1594.73	1001.93	277.2	470.14	620.67	1304.15	1233.75	332.14	928.3	780.44	366.09	389.72	1277.29	395.18	1104.13	981.29	486.75	314.17	1081.39	1096.5	1295.13	341.51	723.08	466.88	559.28	363.56	348.71	234.57	1350.18	476.71	309.83	507.46
AC005609.1	0	1.2	7.94	0	0	1.69	0	0	0.46	0	0.41	0	1.16	0	1.73	0	0.84	3.99	0	1.62	0	0	2.53	0	0	0	0.45	1.51	0	0	8.65	0.79	0	0
SNX21	90203	409.15	909.17	693.58	412	480.04	825	819.3	629.35	343.89	684.02	974.5	518.15	318.57	759.08	395.18	460.44	902.89	356.05	316.37	441.64	796.86	1066.48	348.71	612.11	403.5	376.41	361.04	239.52	249.73	764.36	341.51	334.46	420.68
RP11-468E2.4	0	59.97	25.17	13.62	19.25	22.26	8	29.91	43.63	39.22	36.53	30.78	34.26	37.59	18.56	27.25	17.13	9.56	33.78	19.11	18.16	27.25	25.17	9.13	25.17	38.67	77.25	57.89	32.13	20.11	18.84	47.5	33.3	46.5
SCOC	60592	679.29	1096.5	1617	928.3	1111.82	961.07	1059.11	1199.98	579.04	1191.69	848.22	563.18	941.27	1104.13	616.37	1183.45	1143.1	813.63	679.29	796.86	1259.69	1216.75	825	1023	753.83	1104.13	836.53	1191.69	1857.6	1001.93	954.43	896.64	1447.15
ZNF510	22869	91.41	149.12	66.18	44.57	88.88	98.04	164.42	110.43	57.08	62.56	118.43	80.01	113.56	148.09	40.36	166.73	161.02	85.22	81.14	65.26	92.7	155.5	37.85	79.45	70.51	111.21	73.54	107.38	137.14	204.07	73.03	78.34	111.99
PACSIN3	29763	507.46	1191.69	1127.35	122.64	540.19	1685.71	866.07	1037.29	320.8	1167.14	1340.84	660.68	426.57	1175.27	146.03	1096.5	1096.5	237.86	229.72	1073.91	1119.56	1313.23	212.78	1477.58	679.29	373.81	334.46	204.07	253.23	1286.18	96.68	412	555.41
ABCF1	23	961.07	909.17	759.08	896.64	988.12	1008.9	890.44	1015.93	1037.29	866.07	1008.9	1044.52	995	1030.12	1051.79	1037.29	866.07	872.1	988.12	769.69	1081.39	1104.13	902.89	825	896.64	819.3	934.76	638.15	318.57	1081.39	1104.13	872.1	688.78
WNT9A	7483	97.36	193.01	78.89	8.19	50.63	1322.37	229.72	72.01	20.86	152.28	242.88	100.83	18.97	356.05	29.06	85.22	195.72	40.36	33.06	145.02	218.79	309.83	30.12	108.9	70.51	26.67	15.11	6.26	7.4	438.59	23.25	10.79	43.63
TRIM47	91107	896.64	830.75	429.54	1127.35	1457.23	651.58	981.29	551.56	1259.69	674.59	808	1304.15	961.07	1259.69	624.99	551.56	802.41	775.05	813.63	698.41	848.22	1008.9	728.11	728.11	1350.18	961.07	1104.13	1498.22	543.96	1111.82	775.05	743.43	878.17
HNRNPH3	3189	2777.33	3690.52	1844.76	1498.22	2915.45	4010.71	3419.52	1769.57	1781.89	1883.54	3614.55	2573.36	2319.15	4419.52	1883.54	2468.49	3665.02	2303.12	2335.28	1427.22	3395.89	4181.07	1561.89	2209.26	1909.85	2224.63	2319.15	1277.29	1498.22	4066.71	2816.11	1709.26	2875.3
UBXN4	23190	1001.93	1199.98	1242.34	1151.06	1268.46	703.28	1104.13	1467.37	988.12	1096.5	1008.9	1277.29	1551.09	1191.69	764.36	1594.73	934.76	1159.07	1151.06	981.29	941.27	1059.11	860.08	854.13	1008.9	1407.55	961.07	1322.37	1051.79	1151.06	1529.73	1030.12	1286.18
SIGLECL1	284369	0.95	2.58	0	0	0	0	0	0	0	4.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBE2B	7320	1721.16	1721.16	2573.36	1340.84	1605.83	1651	1819.35	2119.22	1685.71	1508.65	1437.15	1806.78	1628.26	2367.9	1963.57	1721.16	2148.82	2193.99	1477.58	1242.34	2796.65	2255.7	2434.5	2209.26	1794.29	1806.78	1757.34	2104.58	4671.57	1721.16	995	2163.77	2018.8
LRP11	84918	348.71	507.46	825	327.56	476.71	381.68	454.09	693.58	251.48	890.44	525.39	429.54	412	466.88	224.97	1008.9	480.04	279.14	277.2	674.59	525.39	500.46	214.27	647.07	307.69	258.57	291.04	303.44	312	400.71	332.14	283.05	237.86
TMEM125	128218	1417.35	5.68	209.84	2701.35	2075.59	0	0	115.97	1991	185.11	571.05	2739.08	1857.6	0	1923.14	166.73	7.75	1313.23	2555.58	392.44	152.28	0	1662.49	121.79	1519.15	928.3	1745.2	2351.53	2758.13	0	1242.34	2255.7	981.29
MAGEA10	4109	0	0.39	0	0	0.31	0	0.36	1.11	0	0.34	0	0	0	0	0	0	0	0.77	0	0	0	0	0.71	0	0	1.11	0	0	0	0.39	0	0	0
GPA33	10223	1159.07	71	1.97	1896.65	125.24	0.18	0	1.19	693.58	1.85	206.94	31	73.54	6.46	1295.13	0.89	0	1104.13	1407.55	13.03	239.52	0.47	1529.73	0.17	79.45	26.67	14.56	25.91	135.24	0	1991	29.27	12.64
GLT6D1	360203	0	0	1.43	0	0	0	1.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRPL34	64981	2520.38	2555.58	1977.24	3982.99	2240.11	3124.78	2627.46	1457.23	2645.74	1769.57	2796.65	2351.53	1757.34	2956.17	2664.15	1191.69	2816.11	3874.05	2875.3	1977.24	3018.3	3060.45	4038.61	1909.85	2119.22	3349.13	3540.14	3257.52	7589.61	2682.69	2855.44	3467.27	3928.15
TRIM37	4591	162.14	301.33	212.78	87.03	212.78	258.57	264.03	204.07	96.01	178.77	201.25	162.14	156.59	334.46	77.25	285.03	267.73	173.85	119.26	180.02	262.2	400.71	80.01	156.59	154.42	185.11	124.37	172.65	135.24	363.56	146.03	149.12	204.07
PTPRC	5788	532.74	147.06	47.5	164.42	493.56	74.06	102.97	72.01	629.35	134.3	473.41	555.41	563.18	142.01	155.5	198.47	65.26	551.56	447.82	149.12	151.22	193.01	242.88	90.77	703.28	1651	921.88	669.92	373.81	94.67	371.22	547.75	2032.85
PPIAL4A	164022	0.4	1.68	0	0	0	0	1.55	0	0	0.75	0	0	0	0.44	0	0	0	0	0.82	0	0.42	0	0	0	0	0	0	0	0	0	2.56	0	0
MTHFS	10588	967.76	356.05	285.03	2047	1127.35	291.04	348.71	239.52	1259.69	237.86	688.78	928.3	1008.9	341.51	1359.57	241.19	285.03	1331.57	1030.12	409.15	718.08	529.06	1225.22	307.69	665.29	1322.37	1388.16	1216.75	3467.27	466.88	1127.35	1175.27	1225.22
CTBP1	1487	3235.01	2609.3	1639.59	2434.5	2682.69	2895.31	2609.3	1923.14	3235.01	2178.83	3146.52	3589.58	2609.3	2609.3	2104.58	2303.12	2664.15	2335.28	2997.45	2351.53	2351.53	2682.69	2224.63	2384.37	3146.52	2555.58	2816.11	3212.66	1487.87	2417.67	2976.74	1936.53	2119.22
SPTLC3	55304	106.63	54.72	223.41	198.47	70.51	56.28	77.25	133.36	55.89	206.94	98.04	105.89	92.7	39.79	87.65	172.65	87.03	96.01	104.42	106.63	59.13	50.98	125.24	163.28	70.01	35.76	92.7	55.49	77.79	38.95	228.13	35.76	56.68
MANF	7873	2319.15	642.59	2240.11	1233.75	4328.55	669.92	759.08	1191.69	2627.46	1697.45	1175.27	2591.27	2997.45	665.29	4450.27	1081.39	656.11	4298.64	3768.09	1639.59	1167.14	764.36	2682.69	1583.71	4869.99	5006.93	4358.66	7433.4	4512.4	785.88	1639.59	6516.03	3794.3
BRI3BP	140707	348.71	34.75	154.42	555.41	343.89	16.03	18.29	122.64	395.18	182.55	115.16	305.55	295.11	16.88	293.07	178.77	34.75	353.59	332.14	94.67	77.25	27.64	379.04	103.69	221.86	220.32	248	503.95	258.57	23.42	651.58	329.84	271.48
OR1A2	26189	0	0	0	0	0	0	2.32	0	0	0	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SERPING1	710	10440.2	19618.49	791.35	1594.73	5366.37	15075.35	21468.49	5112.16	3901.01	1286.18	19482.97	4639.29	4095	14971.21	5219.6	3443.31	16843.62	5872.48	5517.27	5183.54	15392.14	12853.63	4937.99	1781.89	7230.1	7589.61	4972.34	2319.15	2835.7	12589.08	4210.15	4419.52	7911.95
PLSCR4	57088	348.71	1030.12	146.03	60.39	281.09	532.74	995	239.52	163.28	217.27	769.69	246.28	125.24	928.3	105.15	444.72	769.69	351.14	189.02	389.72	738.29	896.64	144.01	202.66	249.73	269.6	130.6	99.43	178.77	1051.79	316.37	139.07	366.09
C5orf52	100190949	8.85	0.83	0	16.27	1.38	0	0	0.52	15	0	3.5	0	1.31	0	19.68	0	0	10.55	6.89	0	0	0	16.39	1.35	1.99	0	0	0	6.01	1.45	13.22	0	0.79
MKNK2	2872	3639.7	3955.48	6792.79	2682.69	3901.01	4671.57	3874.05	15934.98	2777.33	6121.9	5633.22	4095	3955.48	3901.01	3146.52	6840.04	4903.87	2956.17	3349.13	11584.24	3716.2	3614.55	2758.13	15285.81	3190.46	3982.99	3564.78	2148.82	1477.58	3928.15	2796.65	2758.13	3515.68
RWDD2B	10069	297.17	287.01	279.14	162.14	307.69	363.56	314.17	209.84	241.19	236.21	291.04	258.57	392.44	351.14	154.42	281.09	432.53	295.11	295.11	212.78	420.68	299.25	176.29	211.31	269.6	368.65	293.07	371.22	536.45	400.71	191.67	285.03	397.93
KCTD4	386618	4.5	18.7	1.91	3.41	1.25	6.89	2.32	1.6	0.22	0.99	6.36	1.41	0.84	11.47	0	1.51	2.27	0	0	2.66	10	12.93	1.87	0.65	1.13	0	0	0	1.6	3.47	2.23	0	1.51
CD48	962	934.76	88.88	57.49	193.01	567.1	116.78	88.26	48.52	796.86	92.05	486.75	909.17	532.74	72.52	303.44	124.37	39.22	941.27	1051.79	117.6	101.54	109.66	476.71	84.04	1135.2	2976.74	1015.93	1242.34	1417.35	39.79	248	1397.83	3060.45
DNAJC10	54431	563.18	728.11	332.14	417.77	1127.35	603.67	713.11	417.77	536.45	417.77	743.43	825	1697.45	679.29	336.79	708.18	642.59	902.89	796.86	988.12	529.06	718.08	351.14	255	665.29	1044.52	665.29	1023	723.08	733.19	599.49	703.28	915.51
MGAT2	4247	507.46	204.07	258.57	718.08	708.18	185.11	194.36	262.2	616.37	309.83	327.56	571.05	551.56	143.01	444.72	264.03	253.23	571.05	703.28	291.04	295.11	226.54	514.56	265.87	507.46	633.73	521.76	819.3	438.59	221.86	848.22	406.31	587.13
AKAP6	9472	64.34	438.59	53.95	7.22	60.39	325.29	599.49	86.43	21.78	47.17	217.27	63.89	5.59	698.41	6.06	201.25	379.04	42.71	32.82	40.07	336.79	480.04	19.82	54.72	85.22	11.38	8.99	5.45	4.46	669.92	17.51	25.54	49.91
E2F5	1875	153.34	76.71	65.26	130.6	157.68	69.52	72.01	68.55	138.1	63.89	89.51	163.28	214.27	79.45	151.22	80.01	76.71	191.67	190.34	81.14	86.43	70.51	148.09	65.72	258.57	379.04	232.94	356.05	195.72	68.07	163.28	128.79	343.89
ERGIC3	51614	6164.49	3690.52	4123.49	6652.97	6516.03	5751.61	3467.27	4010.71	7230.1	4095	5517.27	6745.86	6207.38	3018.3	9876.98	3901.01	4210.15	8078.22	7589.61	4181.07	3982.99	2573.36	8022.41	4903.87	7537.18	7485.11	9344.14	7433.4	9344.14	2573.36	5791.62	8963.45	7382.04
ADAM7	8756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAF	369	1697.45	1350.18	1104.13	1359.57	2133.97	1407.55	1277.29	1015.93	2209.26	1340.84	1757.34	2303.12	2303.12	1081.39	1923.14	1051.79	1551.09	1963.57	1950	1508.65	1407.55	1242.34	1651	1259.69	2004.85	2148.82	2645.74	2209.26	1508.65	1225.22	1322.37	2319.15	1794.29
TAF2	6873	198.47	273.37	361.04	166.73	241.19	195.72	277.2	397.93	271.48	309.83	299.25	256.78	229.72	358.54	244.57	417.77	239.52	283.05	224.97	384.34	248	314.17	186.4	242.88	248	253.23	189.02	211.31	190.34	325.29	285.03	229.72	301.33
DMRTC1B	63947	18.97	34.26	18.16	2.07	15.8	63	34.51	15.8	25.17	7.75	60.39	39.5	19.53	55.1	29.7	10.71	19.97	22.59	32.82	16.63	27.05	52.08	17.38	5.11	41.22	82.29	20.56	22.1	15.91	17.51	15.68	21.16	45.21
AC018816.3	0	11.3	24.28	9.48	31	7.17	16.39	16.39	19.82	6.73	37.59	8.06	5.87	12	16.15	50.27	15.68	6.01	26.86	13.83	33.54	6.57	4.94	15.22	37.05	7.88	29.7	11.21	23.59	214.27	3.63	5.28	22.59	45.21
NRM	11270	287.01	417.77	356.05	121.79	392.44	473.41	366.09	447.82	397.93	389.72	387.02	389.72	265.87	329.84	239.52	320.8	483.38	309.83	220.32	447.82	351.14	392.44	269.6	435.55	392.44	500.46	551.56	368.65	212.78	312	255	363.56	571.05
ZNF730	100129543	1.48	1.97	7.69	0.28	0.29	0.74	6.31	7.11	0.33	3.76	3.08	0.69	1.36	1.22	0	4.03	1.45	1.58	0	2.81	1.93	6.16	0.34	0.35	2.32	0.78	2.76	0.34	3.89	1.19	0	0	1.87
CACNB4	785	4.74	23.76	39.79	2.36	5.87	12.45	22.1	68.07	5.96	50.63	12.55	4.58	25.17	19.53	3.26	54.72	22.26	10.63	8.25	56.28	8.99	14.24	3.66	12.83	7	27.05	15.11	11.13	5.54	22.1	6.89	10.24	15.68
IFNA8	3445	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IP6K2	51447	1583.71	909.17	1457.23	2451.44	1487.87	1167.14	1015.93	1806.78	1733.13	1437.15	1350.18	1378.57	1769.57	796.86	1378.57	1417.35	1059.11	1651	1208.34	1540.37	884.29	934.76	1857.6	1844.76	1662.49	2303.12	1963.57	1286.18	1819.35	830.75	2335.28	1477.58	1781.89
SLC41A3	54946	728.11	1135.2	486.75	457.25	884.29	915.51	1104.13	403.5	791.35	620.67	1216.75	733.19	669.92	698.41	547.75	521.76	1159.07	665.29	703.28	995	738.29	842.36	743.43	543.96	595.34	848.22	620.67	802.41	624.99	728.11	669.92	521.76	808
SLC25A51	92014	244.57	363.56	371.22	587.13	169.07	191.67	332.14	267.73	237.86	397.93	199.85	169.07	181.28	309.83	212.78	273.37	246.28	211.31	285.03	329.84	279.14	325.29	334.46	251.48	125.24	164.42	163.28	127	197.09	336.79	423.61	162.14	193.01
KLHL17	339451	100.83	126.12	104.42	59.13	139.07	111.99	87.03	320.8	129.69	156.59	229.72	98.73	80.01	100.83	43.32	218.79	152.28	89.51	36.01	152.28	117.6	145.02	47.5	169.07	136.19	332.14	85.22	134.3	28.04	156.59	98.04	36.27	123.5
PRKAB1	5564	1030.12	878.17	934.76	974.5	1183.45	830.75	819.3	1487.87	1250.98	1216.75	1208.34	890.44	1242.34	698.41	884.29	728.11	1081.39	1001.93	1119.56	974.5	723.08	753.83	890.44	1191.69	633.73	1008.9	909.17	1119.56	909.17	981.29	961.07	1268.46	1167.14
ZUFSP	221302	128.79	123.5	204.07	124.37	118.43	82.87	98.04	162.14	100.13	156.59	80.57	105.15	140.04	94.01	166.73	182.55	102.97	153.34	111.21	101.54	117.6	119.26	129.69	120.94	110.43	152.28	96.68	127.89	197.09	88.88	194.36	105.89	123.5
ARID5B	84159	332.14	651.58	470.14	129.69	178.77	239.52	397.93	728.11	205.5	563.18	466.88	228.13	255	629.35	236.21	791.35	426.57	343.89	277.2	669.92	251.48	343.89	149.12	320.8	295.11	346.29	206.94	155.5	92.05	339.14	307.69	236.21	262.2
KRT1	3848	5.23	1.38	2119.22	2.36	63	3.99	3.29	1088.92	0	275.28	75.11	5.63	2.29	5.63	13.93	3614.55	232.94	2.1	26.86	490.14	0	1.39	4.54	3982.99	29.48	34.26	64.8	0	37.85	0	22.59	67.12	115.97
BRD2	6046	3235.01	2997.45	2591.27	1561.89	3419.52	2875.3	3212.66	3168.41	2777.33	2701.35	4607.24	3081.75	3372.43	3039.3	2047	3467.27	2875.3	2915.45	2417.67	2434.5	3349.13	2895.31	2502.97	3303	3742.05	3716.2	2835.7	2701.35	1923.14	2915.45	2367.9	2351.53	3665.02
RELL2	285613	29.7	28.65	43.02	100.83	29.7	19.97	24.99	84.04	40.36	57.89	28.86	38.4	23.59	15.45	29.27	54.33	28.65	31.67	29.7	91.41	26.86	28.24	18.03	45.53	51.35	98.73	28.45	53.19	15.68	20.11	42.71	24.28	57.89
TRAF6	7189	149.12	175.07	221.86	163.28	148.09	123.5	166.73	226.54	102.25	190.34	148.09	144.01	169.07	124.37	120.94	258.57	162.14	133.36	140.04	134.3	115.97	159.9	133.36	197.09	151.22	122.64	134.3	120.94	125.24	177.53	177.53	118.43	116.78
TTC32	130502	122.64	339.14	258.57	289.02	152.28	195.72	301.33	253.23	133.36	223.41	211.31	120.1	138.1	555.41	128.79	191.67	197.09	173.85	98.04	229.72	293.07	371.22	100.83	98.73	108.9	273.37	133.36	113.56	753.83	293.07	186.4	60.82	226.54
WWTR1	25937	819.3	3467.27	1417.35	123.5	785.88	3212.66	4607.24	1583.71	332.14	1183.45	2209.26	1081.39	466.88	4268.94	279.14	2609.3	3146.52	529.06	536.45	1519.15	2609.3	3982.99	379.04	1477.58	684.02	423.61	356.05	368.65	457.25	4802.93	295.11	429.54	825
MCM8	84515	80.01	99.43	66.18	70.01	83.45	71	101.54	108.9	73.54	73.54	91.41	67.59	93.35	99.43	53.95	111.99	75.64	82.87	59.13	54.72	100.13	90.77	62.56	64.8	87.03	71.5	63.89	88.88	53.57	117.6	111.21	70.51	86.43
CCK	885	447.82	38.12	2.66	234.57	31.45	414.87	59.13	1.85	329.84	2.2	339.14	26.28	10.71	61.68	249.73	3.03	0.42	392.44	297.17	11.91	57.89	111.99	397.93	0.44	108.9	65.72	24.63	41.81	163.28	38.67	195.72	61.25	460.44
AGTR2	186	3.92	14.14	0	0	1	2.61	7.22	0	0	0	48.52	0.29	0	13.93	0	0	0.3	3.26	0.32	0.3	20.86	8.51	0	0.32	5.68	0	0	0	0	19.68	0.72	0	14.45
RAD51C	5889	264.03	591.22	281.09	156.59	400.71	543.96	563.18	309.83	297.17	269.6	423.61	223.41	339.14	703.28	185.11	363.56	441.64	392.44	239.52	381.68	674.59	624.99	246.28	248	348.71	688.78	432.53	420.68	928.3	620.67	228.13	339.14	529.06
ITFG1	81533	928.3	1104.13	616.37	1757.34	842.36	890.44	1023	579.04	753.83	532.74	848.22	723.08	988.12	1167.14	1127.35	764.36	1044.52	1167.14	890.44	860.08	1208.34	1111.82	1119.56	473.41	854.13	884.29	878.17	612.11	1427.22	1111.82	1594.73	1143.1	728.11
UBQLNL	143630	5.68	18.56	14.56	2.94	2.48	14.24	20.41	7.22	4.94	6.46	7	2.14	0	13.52	1.04	9.2	8.85	2.34	1.64	7.11	10.71	15.22	3.92	3.99	3.56	7.82	3.41	1.01	4.21	10.96	3.26	6.89	4.62
LL22NC03-75H12.2	0	12.27	0	1.33	10.39	111.21	0	0.56	1.83	18.97	8.19	5.63	112.77	92.7	0	37.59	2.89	0.18	6.41	8.06	72.01	3.03	0	0	16.75	0	30.78	9.06	41.22	122.64	0	4.94	161.02	34.51
PGLYRP1	8993	15	15.8	1.83	2.12	27.25	3.35	5.45	1.2	8.85	0	40.36	19.68	10.63	0.47	14.14	2.97	1.43	41.81	5.96	3.14	22.92	3.63	6.16	0.41	23.42	29.06	18.29	26.86	0	0.46	4.17	18.03	94.67
FAM209B	388799	0	10.55	4.78	5.28	5.32	0	2.76	16.39	3.32	8.19	0	8.92	0	5.15	2.81	5.5	2.71	5.06	3.47	22.59	2.16	17.51	9.78	2.1	7.69	5.68	3.29	7.17	19.11	0	2.68	32.36	0
TRAPPC10	7109	486.75	395.18	353.59	392.44	371.22	312	432.53	486.75	450.94	460.44	423.61	476.71	429.54	392.44	283.05	551.56	251.48	379.04	432.53	392.44	412	397.93	400.71	358.54	457.25	381.68	320.8	312	136.19	426.57	551.56	253.23	339.14
PNRC1	10957	2720.15	7382.04	2537.92	1467.37	2777.33	5479.15	6079.61	2956.17	1313.23	1870.53	8538.88	2104.58	2335.28	8598.28	1721.16	2520.38	5711.87	2976.74	1832.01	3665.02	6840.04	6426.31	1617	2451.44	3395.89	4512.4	2835.7	1963.57	2417.67	5041.77	2240.11	2777.33	5041.77
DTL	51514	62.56	4.54	64.34	18.16	97.36	6.01	1.91	67.59	31.9	38.95	29.06	105.89	63.89	2.18	29.27	63.89	9.93	82.87	68.55	39.5	3.53	0.74	67.59	49.56	54.72	52.08	60.39	171.45	62.56	3.96	84.63	28.45	88.88
LHX2	9355	4.66	2.71	0.93	1.35	0.2	0.26	13.72	0	7.51	1.19	1.81	0.89	1.95	2.43	0	1.28	0.24	0.27	4.74	0	0.64	0	1.57	0	2.01	2.03	3.92	4.82	1	0.65	1.83	2.63	6.52
FGFR1OP2	26127	514.56	733.19	438.59	429.54	620.67	607.87	669.92	457.25	414.87	511	718.08	536.45	457.25	665.29	454.09	486.75	559.28	466.88	493.56	480.04	595.34	791.35	503.95	417.77	567.1	954.43	543.96	575.03	669.92	808	507.46	417.77	830.75
AL136531.1	0	5.68	4.74	0	0.83	0.44	6.62	6.06	4.7	0.92	0.91	1.75	0	0	9.85	1.87	2.32	0.93	1.97	2.76	0	3.76	4.82	2.25	1.41	1.48	1.01	0	1.36	0	3.38	0.92	5.5	0.52
RHBDF1	64285	387.02	1066.48	698.41	412	638.15	642.59	884.29	796.86	718.08	1044.52	902.89	708.18	348.71	791.35	406.31	796.86	733.19	351.14	295.11	1540.37	507.46	599.49	503.95	813.63	769.69	384.34	450.94	423.61	99.43	713.11	521.76	358.54	307.69
SLC33A1	9197	379.04	303.44	351.14	389.72	684.02	307.69	277.2	241.19	353.59	303.44	490.14	483.38	642.59	180.02	277.2	336.79	265.87	521.76	571.05	323.03	457.25	332.14	332.14	239.52	389.72	447.82	444.72	679.29	343.89	262.2	435.55	368.65	395.18
HIST1H4F	8294	12	1.55	3.2	2.29	1.22	0	0	3.41	11.38	0	0	0	6.16	0	5.41	2.51	0	9.7	4.24	15.91	5.59	1.01	4.31	1.19	5.11	3.38	8.58	21.94	0	0	2.58	7.88	8.13
RNF113A	7737	368.65	237.86	323.03	447.82	336.79	277.2	273.37	256.78	403.5	205.5	262.2	320.8	351.14	194.36	256.78	217.27	221.86	361.04	371.22	242.88	277.2	226.54	309.83	289.02	325.29	642.59	423.61	426.57	476.71	299.25	348.71	463.65	551.56
