Hugo_Symbol	Entrez_Gene_Id	TCGA-BR-6564-11A-01R-1884-13	TCGA-HU-A4GH-11A-11R-A36D-31	TCGA-IN-8663-11A-01R-2402-13	TCGA-HU-8238-11A-01R-2343-13	TCGA-BR-7716-11A-01R-2055-13	TCGA-FP-7735-11A-01R-2055-13	TCGA-HU-A4GY-11A-11R-A36D-31	TCGA-IN-AB1X-11A-21R-A39E-31	TCGA-CG-5720-11A-01R-1602-13	TCGA-IN-8462-11A-01R-2343-13	TCGA-BR-7704-11A-01R-2055-13	TCGA-CG-5722-11A-02R-1602-13	TCGA-BR-6458-11A-01R-1802-13	TCGA-HU-A4HB-11A-11R-A251-31	TCGA-CG-5734-11A-01R-1602-13	TCGA-IN-AB1V-11A-11R-A414-31	TCGA-FP-7829-11A-01R-2055-13	TCGA-BR-6453-11A-01R-1802-13	TCGA-BR-6457-11A-01R-1802-13	TCGA-IP-7968-11A-01R-2203-13	TCGA-HU-A4GN-11A-12R-A251-31	TCGA-HU-A4GP-11A-21R-A251-31	TCGA-CG-5730-11A-01R-1602-13	TCGA-IN-7806-11A-01R-2055-13	TCGA-BR-6454-11A-01R-1802-13	TCGA-BR-7715-11A-01R-2055-13	TCGA-CG-5733-11A-01R-1602-13	TCGA-BR-6852-11A-01R-1884-13	TCGA-BR-6802-11A-01R-1884-13	TCGA-HU-A4G3-11A-11R-A24K-31	TCGA-BR-7851-11A-01R-2203-13	TCGA-CG-5721-11A-01R-1602-13	TCGA-BR-7717-11A-01R-2055-13
FAM188B	84182	86.43	217.27	19.11	46.84	90.14	138.1	223.41	30.34	55.89	26.47	279.14	66.18	50.27	156.59	28.45	58.3	202.66	75.64	45.21	72.52	177.53	197.09	30.56	21.63	113.56	48.52	40.93	56.68	36.27	182.55	49.56	26.86	66.65
MSH6	2956	327.56	432.53	237.86	131.51	507.46	358.54	518.15	400.71	267.73	343.89	518.15	438.59	466.88	555.41	141.02	536.45	629.35	271.48	299.25	211.31	346.29	555.41	96.01	348.71	285.03	251.48	205.5	346.29	137.14	603.67	217.27	206.94	406.31
AP2M1	1173	6887.62	5147.73	4010.71	5076.84	6745.86	9151.82	4903.87	4481.23	5041.77	4450.27	6792.79	6337.83	5954.47	5872.48	5147.73	5041.77	7803.01	5441.3	6983.79	4937.99	5672.41	5711.87	4869.99	6164.49	6607.01	4869.99	5076.84	6079.61	3742.05	5147.73	4038.61	5006.93	4671.57
TSPAN11	441631	141.02	264.03	8.99	25.54	82.87	316.37	273.37	19.53	129.69	18.16	277.2	265.87	77.25	193.01	49.21	31.9	217.27	127	228.13	84.63	97.36	384.34	94.67	6.16	173.85	193.01	144.01	69.52	42.41	426.57	68.55	97.36	107.38
CRHBP	1393	24.63	56.68	1.99	8.45	19.82	17.64	102.25	1.27	9.56	3.03	30.12	7.28	12.18	38.67	5.28	2.03	35.25	13.93	10.88	2.71	15.34	111.21	10.16	3.23	10.08	28.04	9.56	12.74	39.5	35.5	11.38	3.35	23.59
RGS5	8490	2758.13	10368.08	463.65	764.36	3257.52	23169.48	15499.21	878.17	1757.34	376.41	12943.04	2255.7	2976.74	8963.45	1508.65	1733.13	18304.63	2777.33	3515.68	934.76	5112.16	6471.02	1605.83	775.05	3665.02	5112.16	3847.29	4972.34	2855.44	13306.94	1407.55	4010.71	8022.41
COL16A1	1307	660.68	1427.22	295.11	138.1	332.14	1208.34	854.13	674.59	287.01	234.57	1745.2	503.95	346.29	1059.11	267.73	651.58	995	429.54	299.25	299.25	909.17	1104.13	409.15	291.04	591.22	395.18	353.59	191.67	61.68	1233.75	366.09	221.86	348.71
DENND1A	57706	518.15	395.18	155.5	540.19	253.23	392.44	397.93	155.5	329.84	194.36	318.57	281.09	287.01	463.65	406.31	267.73	395.18	368.65	389.72	197.09	429.54	392.44	532.74	153.34	356.05	201.25	209.84	262.2	108.14	403.5	497	332.14	221.86
LCN15	389812	73.03	1.28	0	129.69	0	0.58	0.24	0	15.34	0	1.41	0	0.32	0	28.86	0	0	16.27	48.52	0	45.53	0	22.1	0	0.93	1.89	0	0	12.36	0.27	7.75	2.07	0
CT45A6	441520	0	0.77	0	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68
PRNP	5621	1844.76	8658.09	1023	249.73	2303.12	10959.3	9474.59	1159.07	791.35	1216.75	6164.49	3589.58	651.58	9409.14	591.22	1498.22	5995.9	1286.18	1268.46	1594.73	5954.47	10014.87	808	1151.06	2004.85	1268.46	854.13	830.75	1467.37	11035.54	450.94	954.43	2303.12
HIPK4	147746	5.41	20.71	0.33	0.99	5.02	18.7	18.29	4.9	0.72	4.31	11.64	4.39	0	16.39	1.62	12.93	23.08	1.27	1.19	1.13	17.64	18.7	1.99	5.45	5.28	3.96	2.03	1.13	1.71	23.25	0.31	5.23	2.48
AF131215.5	0	2.39	2.07	3.26	1.31	0.54	0	2.81	5.68	2.29	1.85	0.58	0	1.27	3.08	0.61	5.41	0	2.07	1.07	0	2.05	0	3.2	1.07	0	0.64	1.3	0	1.13	2.58	2.29	0	0.61
ARHGAP39	80728	65.72	57.49	94.01	50.98	42.11	38.67	48.87	96.01	61.68	116.78	65.72	42.71	29.91	56.68	66.65	129.69	39.5	69.03	55.89	100.83	39.22	49.56	89.51	129.69	40.93	35	34.26	41.22	7.69	56.68	82.87	20.71	30.78
EHD3	30845	87.65	73.54	1208.34	18.97	54.72	81.71	94.67	1572.76	59.55	713.11	120.94	72.52	73.03	66.65	30.34	1059.11	214.27	40.93	100.13	733.19	129.69	78.89	52.82	1340.84	98.04	100.13	92.05	70.51	12.55	70.51	38.4	51.35	81.14
SCNN1G	6340	35	0.41	450.94	4.82	423.61	0.38	1.16	473.41	26.47	155.5	169.07	43.94	447.82	0.43	111.99	363.56	30.34	64.34	309.83	995	0	0.01	0.35	521.76	182.55	301.33	139.07	117.6	57.49	0.01	1.5	392.44	104.42
