Group	Value
Scramble	104.8921
Scramble	100.1439
Scramble	94.96403
shEEF1AKMT3 #1	295.6835
shEEF1AKMT3 #1	362.1583
shEEF1AKMT3 #1	326.7626
shEEF1AKMT3 #3	156.259
shEEF1AKMT3 #3	240.8633
shEEF1AKMT3 #3	223.1655
