A	C	B
0.956446374	13.86329405	0.944123174
1.052584813	13.87736522	1.000495259
0.968245182	13.66586066	1.026452637
1.016576598	16.51085927	1.133253704
0.999621273	15.4373425	1.166639962
1.006525761	16.0902973	1.250193005
