type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
NA,NA,2012-10-25,NA,"Effort, Loss Aversion and Religion",NA,[Homo Experimentalis: Experimental Approaches in The Study of Religion](https://religionistika.phil.muni.cz/levyna2012/program.php),NA,"Brno, Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2018-06-18,NA,What the Anti-Distraction Market Tells Us About Digital Technology and Self-Regulation,NA,University of Oxford,Oxford Internet Institute,[Connected Life Conference 2018](https://connectedlife.oii.ox.ac.uk/past-conferences/conference-life-2018/),NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-04-21,NA,A Cognitive Design Space for Supporting Self-Regulation of ICT Use,NA,2018 CHI Conference on Human Factors in Computing Systems,NA,[3rd Symposium on Computing and Mental Health](https://dl.acm.org/doi/10.1145/3170427.3170665),"Montreal, Canada",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-07-27,NA,"“It’s More Fun With My Phone"": A Replication Study of Cell Phone Presence and Task Performance",NA,[39th Annual Conference of the Cognitive Science Society](https://cogsci.mindmodeling.org/2017/),NA,NA,London,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-06-19,NA,Ulysses in Cyberspace: Evaluating the Anti-Distraction Market,NA,University of Oxford,Oxford Internet Institute,[Connected Life Conference 2017](https://connectedlife.oii.ox.ac.uk/past-conferences/connected-life-2017/),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-05-08,NA,"Curiosity, ICTs and Attention Management: Evaluating the Emerging Anti-Distraction Market",NA,2017 CHI Conference on Human Factors in Computing Systems,NA,[Designing for Curiosity Workshop](https://dl.acm.org/doi/10.1145/3027063.3027064),"Denver, Colorado",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2014-06-22,NA,Wild Cooperation: Studying Real-World Reciprocity Using Couchsurfing.org,NA,Central European University,NA,[Morality: Evolutionary Origins and Cognitive Mechanisms](https://summeruniversity.ceu.edu/morality-2014),Budapest,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011-07-20,NA,Priming Effects of Religious Concepts on Moral Judgment – Between Mean Values and Variation,NA,[33rd Annual Conference of the Cognitive Science Society](http://toc.proceedings.com/12584webtoc.pdf),NA,NA,"Boston, MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-02-11,NA,Invited participant to the Global Dialogue for Happiness,NA,NA,NA,"[World Government Summit](https://www.worldgovernmentsummit.org), Dubai",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2017-02-01,2017-06-01,[Leading for Impact](https://www.sbs.ox.ac.uk/research/skoll-centre-social-entrepreneurship/social-impact-education/leading-impact) fellow,NA,NA,NA,"4-month leadership training programme at Saïd Business School, University of Oxford",NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2021-04-27,NA,"Interviewed on the Danish radio program 'Kortsluttet' (*short-circuited*) on P1, in the episode ['Død over digitale distraktioner' (*Death to digital distractions*)](https://www.dr.dk/radio/p1/kortsluttet/kortsluttet-62?fbclid=iwar2cnu58gu19ym6m0zv48z2tcwqni56xsxmiszkkuqne9efjqwg8w4zgylw)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2018-10-23,NA,"Our paper ""Third Party Tracking in the Mobile Ecosystem"" [C2] covered in the [Financial Times](https://ig.ft.com/mobile-app-data-trackers/), [BBC](https://www.bbc.co.uk/news/technology-45952466), [The Times](https://www.thetimes.co.uk/article/personal-data-harvesting-by-mobile-phone-apps-is-out-of-control-pb2m2kwkj), [Business Insider](https://www.businessinsider.com/google-and-facebook-big-data-apps-oxford-study-finds-2018-10?r=UK&IR=T), and more",NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-07-01,present,Visiting researcher,NA,NA,NA,"Dept. of Computer Science, University of Copenhagen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2020-02-01,present,Data Scientist and Digital Humanities Consultant,NA,NA,NA,"[Śākta Traditions](http://saktatraditions.org/people/), Oxford Centre for Hindu Studies, University of Oxford","I provide practical support and consultancy on natural language processing methods for analysis and visualisation of large text corpora, using reproducible workflows in R Markdown.",NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
NA,NA,2019-10-01,2020-01-01,Research Assistant,NA,NA,NA,[RoboTIPS: Developing Responsible Robots for the Digital Economy](https://www.cs.ox.ac.uk/projects/RoboTIPS/index.html),"Developed accident scenarios and investigation processes to inform responsible innovation in social robotics, with researchers at the Dept. of Computer Science in Oxford (lead: Prof. Marina Jirotka), and the Bristol Robotics Facility (lead: Prof. Alan Winfield).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
NA,NA,2019-03-13,NA,R Markdown Instructor,NA,NA,NA,"St. Anne's College, University of Oxford: [TIER Faculty Development Workshop](https://www.projecttier.org/fellowships-and-workshops/faculty-development-workshops/)",Taught a 2-day master class in Reproducible Research to 20+ research staff and faculty from research institutions across Europe.,NA,NA,NA,NA,n,NA,NA,y,n,n,n,NA,NA
NA,NA,2017-07-01,2019-02-01,Web developer,NA,NA,NA,"Dept. of Computer Science, University of Oxford: [SOCIAM: The Theory and Practice of Social Machines](https://sociam.org)","Built [sociam.org](https://www.sociam.org), which archives outputs of a 5.5 year EPSCR research project involving 55+ researchers, 40+ projects, and 400+ publications. Developed from scratch in Drupal 7, assisted by two summer interns. Ongoing maintenance, feature development, and content curation.",NA,NA,NA,NA,y,NA,NA,n,NA,NA,y,NA,NA
NA,NA,2017-05-01,2019-06-01,Bartender,NA,NA,NA,"Linacre College, University of Oxford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
