Phospho	Group	ave	std
p-TP53 (T18)	a	1	0.106424526
p-TP53 (T18)	b	1.580705321	0.056881704
p-TP53 (T18)	c	1.444415881	0.055801256
p-TP53 (S33)	a	1	0.163498144
p-TP53 (S33)	b	2.751199421	0.038856832
p-TP53 (S33)	c	0.851049438	0.107005758
p-TP53 (S392)	a	1	0.092876555
p-TP53 (S392)	b	1.663881264	0.03892971
p-TP53 (S392)	c	0.563890027	0.03166438
TP53	a	1	0.103553299
TP53	b	2.070405733	0.012086137
TP53	c	0.637215057	0.045822098
