Group	Value
Flag	104.8803959
Flag	99.47759142
Flag	95.64201265
Flag-EEF1AKMT3	91.14654935
Flag-EEF1AKMT3	82.81550729
Flag-EEF1AKMT3	84.91888919
Flag-EEF1AKMT3 G/A	99.64256255
Flag-EEF1AKMT3 G/A	107.7673907
Flag-EEF1AKMT3 G/A	93.45614517
