Group	Value
A	94.39566
A	98.12447
A	103.4244
A	104.0554
B	48.70545
B	45.49117
B	45.36412
B	49.96744
C	76.07129
C	81.11928
C	76.46937
C	83.8402
D	58.22759
D	41.15464
D	43.07305
D	46.69599
