Group	Value
A	105.9805
A	90.94701
A	106.1891
A	96.8834
B	41.306
B	47.72372
B	31.62328
B	52.56107
C	178.8456
C	213.7499
C	193.6545
C	166.9167
D	186.956
D	193.831
D	194.4246
D	168.0318

